id,question,nli_score,num_claims,entailed,semantic,response_time,num_docs
1,What is inheritance in Java?,100.0,7,7,75.55,6.03,3
2,How do I create an ArrayList?,50.0,6,3,65.62,5.51,3
3,Explain polymorphism with an example,100.0,11,11,89.49,7.99,3
4,What are Java interfaces?,88.89,9,8,82.63,6.21,3
5,How does exception handling work?,100.0,5,5,67.18,5.25,3
6,What is encapsulation in Java?,100.0,5,5,76.4,4.21,3
7,What is the difference between == and .equals() in Java?,100.0,9,9,64.79,6.34,3
8,How does a HashMap work in Java?,100.0,16,16,75.02,6.88,3
9,What is a NullPointerException and how do I fix it?,100.0,9,9,68.78,7.61,3
10,Explain the difference between abstract class and interface,100.0,8,8,79.13,7.14,3
11,What does the static keyword mean in Java?,100.0,5,5,68.83,4.64,3
12,How do I read a file in Java?,100.0,9,9,63.04,7.26,3
13,What is method overloading versus overriding?,0.0,6,0,81.48,5.66,3
14,How does garbage collection work in Java?,25.0,4,1,54.04,3.76,3
15,What is a StackOverflowError?,100.0,7,7,73.22,6.56,3
16,Explain try-catch-finally in Java,0.0,9,0,71.86,5.54,3
17,What is the Java Collections Framework?,0.0,10,0,70.47,6.09,3
18,How do lambda expressions work in Java?,100.0,10,10,39.0,9.95,3
19,What is a constructor in Java?,100.0,10,10,88.73,6.62,3
20,How does the for-each loop work in Java?,100.0,9,9,66.42,6.07,3
21,How do I join a classroom on CodeTutor?,100.0,1,1,53.16,4.4,3
22,How does the quiz feature work?,100.0,13,13,43.32,11.37,3
23,What is the AI tutor on the platform?,33.33,3,1,89.4,5.01,3
24,How do I take a practical test?,100.0,5,5,63.02,3.1,3
25,What is the roadmap feature?,75.0,4,3,65.77,3.94,3
26,What is a Java generic type?,100.0,9,9,42.26,10.71,3
27,How does ArrayList differ from LinkedList?,100.0,14,14,44.15,13.63,3
28,What is the difference between int and Integer?,100.0,14,14,42.19,11.86,3
29,How do I sort a list in Java?,100.0,22,22,38.84,9.65,3
30,What is a checked vs unchecked exception?,85.71,7,6,66.86,4.81,3
31,How does String immutability work in Java?,100.0,6,6,61.34,6.12,3
32,What is method chaining in Java?,0.0,11,0,42.49,11.16,3
33,How do I implement Comparable in Java?,100.0,10,10,61.21,7.28,3
34,What is an enum in Java?,100.0,7,7,71.71,5.79,3
35,How does instanceof work?,11.11,9,1,32.96,11.43,3
36,What is a functional interface in Java?,0.0,3,0,63.54,3.19,3
37,How does Optional work in Java?,0.0,17,0,40.6,12.43,3
38,What is the difference between List and Set?,100.0,10,10,42.24,9.84,3
39,How do I handle multiple exceptions?,100.0,3,3,59.23,3.64,3
40,What is a varargs method?,100.0,12,12,42.73,9.83,3
41,How do synchronized methods work?,100.0,1,1,38.87,1.76,3
42,What is autoboxing and unboxing?,100.0,10,10,29.8,10.59,3
43,How do I use the ternary operator?,76.92,13,10,72.95,6.23,3
44,What is a nested class in Java?,100.0,4,4,63.67,3.55,3
45,How do I convert String to int?,100.0,13,13,41.28,9.45,3
46,How do I save my work on CodeTutor?,100.0,4,4,63.13,3.43,3
47,Can I view my quiz history?,100.0,2,2,37.62,2.59,3
48,How does the highlight-to-ask feature work?,100.0,12,12,21.5,9.74,3
49,What does the progress dashboard show?,100.0,6,6,37.17,8.05,3
50,How do I switch between Basic and Enhanced Java tracks?,100.0,12,12,39.46,10.08,3
