id,topic_id,question,options,correct_index,explanation
q1772785971_1,Bridging from Python,"In Java, how do you make the Scanner class available for use in your program?","[""By writing 'include java.util.Scanner;' at the top of your file"", ""By writing 'import java.util.Scanner;' at the top of your file"", ""By declaring 'Scanner' as a built-in keyword in your main method"", ""By copying the Scanner source code into your program""]",1,The correct way to use the Scanner class is by importing it using the 'import' keyword followed by its fully qualified name: 'import java.util.Scanner;'. This matches the syntax described in the study material.
q1772785971_2,Bridging from Python,What does the statement 'import java.util.*;' accomplish in a Java program?,"[""It imports only the Scanner class from the java.util package"", ""It imports all classes from the java.util package"", ""It defines a new package named java.util"", ""It compiles all files in the java.util directory""]",1,"Using 'import java.util.*;' imports all classes in the java.util package, as indicated by the wildcard (*) syntax in the provided material."
q1772785971_3,Bridging from Python,"After importing the Scanner class, what must you do before using its methods to read user input?","[""Call Scanner.read() directly without any setup"", ""Use the 'new' keyword to create an instance (object) of the Scanner class"", ""Declare a variable named 'input' of type String"", ""Link to a Python input() function for compatibility""]",1,"As stated in the material, to use the Scanner class, you must first create an object of the class. This is done using the 'new' keyword, which instantiates the class so its methods can be called."
q1772786125_1,Bridging from Python,"In Java, which statement correctly imports only the Scanner class from the java.util package?","[""import java.util;"", ""import java.util.Scanner;"", ""import Scanner from java.util;"", ""using java.util.Scanner;""]",1,"The correct syntax to import a single class in Java is 'import package.name.Class;'. Thus, 'import java.util.Scanner;' is the proper way to import only the Scanner class."
q1772786125_2,Array,"Which of the following correctly declares and initializes an array of integers with the values 10, 20, 30, and 40?","[""int myNum[] = [10, 20, 30, 40];"", ""int[] myNum = (10, 20, 30, 40);"", ""int[] myNum = {10, 20, 30, 40};"", ""array<int> myNum = {10, 20, 30, 40};""]",2,"In Java, arrays are initialized using curly braces {} with comma-separated values. The correct declaration is 'int[] myNum = {10, 20, 30, 40};'."
q1772786125_3,Bridging from Python,Why is the 'import' statement necessary when using classes like Scanner in Java?,"[""It compiles the class into your program."", ""It makes the class available for use without writing its fully qualified name each time."", ""It automatically creates an instance of the class."", ""It links external libraries written in Python.""]",1,"The 'import' statement allows you to use a class (like Scanner) by its simple name instead of its fully qualified name (e.g., java.util.Scanner), improving code readability and convenience."
q1772786125_4,Array,What is the correct syntax to declare an array of strings named 'colors' in Java?,"[""String colors[];"", ""string[] colors;"", ""Array<String> colors;"", ""String[] colors();""]",0,"In Java, arrays can be declared with brackets after the type ('String[] colors;') or after the variable name ('String colors[];'). Both are valid, but the provided material uses the latter form, making option A correct per the given examples."
q1772786125_5,Array,"Given the array declaration 'String[] cars = {""Volvo"", ""BMW"", ""Ford"", ""Mazda""};', how would you access the second element (""BMW"")?","[""cars[1]"", ""cars(2)"", ""cars[2]"", ""cars.get(1)""]",0,"Java arrays are zero-indexed, so the first element is at index 0. Therefore, the second element (""BMW"") is accessed using 'cars[1]'."
q1772786184_1,Bridging from Python,"In Java, what is the primary purpose of the 'import' statement when using a class like Scanner?","[""To compile the Scanner class into your program"", ""To make the class accessible without using its fully qualified name"", ""To define a new instance of the Scanner class"", ""To link external libraries during runtime""]",1,"The 'import' statement allows you to refer to a class (like Scanner) by its simple name instead of its fully qualified name (e.g., java.util.Scanner), improving code readability and convenience."
q1772786184_10,Bridging from Python,Which statement best describes the relationship between packages and imports in Java?,"[""Packages are imported to add functionality that isn\u2019t part of the Java standard library"", ""Imports are used to include source code from other files into your program"", ""Packages organize classes into namespaces, and imports provide shorthand access to those classes"", ""Every Java class must belong to a package that is explicitly imported in every file""]",2,"Packages in Java serve as namespaces to avoid naming collisions, and import statements let you use classes from those packages without typing their full names repeatedly."
q1772786184_2,Bridging from Python,Which of the following correctly demonstrates how to import all classes from the java.util package?,"[""import java.util;"", ""import java.util.*;"", ""import * from java.util;"", ""include java.util.*;""]",1,"In Java, 'import java.util.*;' imports all public classes from the java.util package, allowing them to be used without their full package prefix."
q1772786184_3,Bridging from Python,"After importing the Scanner class, what must you do before calling methods like nextInt() or nextLine()?","[""Call the static method Scanner.initialize()"", ""Declare a variable of type Scanner and instantiate it with 'new Scanner(...)'"", ""Use the Scanner class directly without creating an object"", ""Link the standard input stream using System.in.connect()""]",1,"Scanner is not a static utility class; you must create an instance (object) of it, typically passing System.in as the input source, before invoking its methods."
q1772786184_4,Bridging from Python,What would happen if you tried to use the Scanner class in Java without importing it or using its fully qualified name?,"[""The program would compile but throw a runtime exception"", ""The compiler would generate an error about an unknown symbol"", ""Java would automatically import commonly used classes like Scanner"", ""The Scanner would default to reading from a file instead of standard input""]",1,"Without an import statement or the fully qualified class name (java.util.Scanner), the Java compiler does not recognize 'Scanner' as a valid type, resulting in a compilation error."
q1772786184_5,Bridging from Python,Why might a Java programmer choose to import only 'java.util.Scanner' instead of 'java.util.*'?,"[""It reduces the compiled file size significantly"", ""It avoids potential naming conflicts with other classes in the same package"", ""It makes the Scanner class run faster"", ""It is required by the Java language specification for I/O operations""]",1,"Importing specific classes rather than entire packages helps prevent naming ambiguities if multiple packages contain classes with the same name, enhancing code clarity and maintainability."
q1772786184_6,Bridging from Python,"In the statement 'import java.util.Scanner;', what does 'java.util' represent?","[""A built-in Java function"", ""The name of the Scanner class\u2019s superclass"", ""A package containing the Scanner class"", ""A module that handles user input""]",2,"'java.util' is a standard Java package that groups related utility classes, including Scanner, ArrayList, and others."
q1772786184_7,Bridging from Python,Which of the following is true about Java’s import mechanism compared to typical Python module usage?,"[""Java imports execute code at runtime like Python\u2019s 'import'"", ""Java imports are purely compile-time directives and do not affect runtime behavior"", ""Java requires explicit linking of imported classes at runtime"", ""Java imports automatically instantiate objects from the imported classes""]",1,"Java import statements are resolved at compile time to simplify class name resolution; they do not load code or execute anything at runtime, unlike Python’s dynamic import system."
q1772786184_8,Bridging from Python,What is the correct way to create a Scanner object that reads from standard input in Java?,"[""Scanner input = new Scanner();"", ""Scanner input = Scanner(System.in);"", ""Scanner input = new Scanner(System.in);"", ""Scanner input = create Scanner(System.in);""]",2,"The Scanner constructor requires a source (like System.in for standard input), and objects in Java are created using the 'new' keyword."
q1772786184_9,Bridging from Python,"If two different packages each contain a class named 'Logger', how can you use both in the same Java file without ambiguity?","[""Use wildcard imports for both packages and rely on Java\u2019s auto-resolution"", ""Import one class and use the fully qualified name for the other"", ""Java does not allow this situation; compilation will fail"", ""Rename one of the classes in your source code""]",1,"To avoid naming conflicts, you can import one class normally and refer to the other using its full package-qualified name (e.g., com.example.Logger)."
